"crash_unit_id","crash_record_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1302623","033df6362274c01ee7cf0e80bbceb4a2ef20bb57b965b1d6850320b518cfc30d35856febf4a07c5f62d7dea1bc903c66688c3459b94a07e82d4965060bf3d810",,"2022-03-21T14:50:00.000","2","DRIVER",,"1237062",,"HYUNDAI","ELANTRA","IL","2015","UNKNOWN","PASSENGER","PERSONAL","W","SLOW/STOP IN TRAFFIC",,,"1",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302624","033df6362274c01ee7cf0e80bbceb4a2ef20bb57b965b1d6850320b518cfc30d35856febf4a07c5f62d7dea1bc903c66688c3459b94a07e82d4965060bf3d810",,"2022-03-21T14:50:00.000","3","DRIVER",,"1237070",,"JEEP","LIBERTY","IL","2005","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302744","7677e826899093e45e4a98433dba437c992b142d8da136bab4864bf1a624a6c2a5dc6ff2f95a8e9cbf56aaeb719bb47ee4e89f95049da486af0b9d15d74eabad",,"2022-03-21T14:45:00.000","1","DRIVER",,"1237171",,"CHEVROLET","IMPALA","IL","2015","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302745","7677e826899093e45e4a98433dba437c992b142d8da136bab4864bf1a624a6c2a5dc6ff2f95a8e9cbf56aaeb719bb47ee4e89f95049da486af0b9d15d74eabad",,"2022-03-21T14:45:00.000","2","DRIVER",,"1237177",,"PONTIAC","GRAND AM","IL","2003","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,"Y","Y",,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302614","0dacb7a52570812a41fe60827019ae80c4eee1703566079c0a306402ffcd65f975255930f9ad6c1b5829cb00beb5dc778199f3bc7d9e87b617ec0f63315e2631",,"2022-03-21T14:40:00.000","1","DRIVER","1","1237047",,"HONDA","ACCORD","IL","2011","UNKNOWN","PASSENGER","PERSONAL","N","ENTERING TRAFFIC LANE FROM PARKING",,,"2",,,,,,,,,,,,,,,"Y","N",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302615","0dacb7a52570812a41fe60827019ae80c4eee1703566079c0a306402ffcd65f975255930f9ad6c1b5829cb00beb5dc778199f3bc7d9e87b617ec0f63315e2631",,"2022-03-21T14:40:00.000","2","DRIVER","1","1237063",,"SUBARU","OUTBACK","IL","2019","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"2",,,,,,"Y","Y",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302597","cc48f64d7cd53e5a432dd0992a074214f8ab8c3cfaa49c70426950a3717191499eb426490030e1275199d9c9013e41550e4c24326e463416021900e42dab4297",,"2022-03-21T14:40:00.000","1","DRIVER",,"1237036",,"UNKNOWN","MOTORIZED",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302598","cc48f64d7cd53e5a432dd0992a074214f8ab8c3cfaa49c70426950a3717191499eb426490030e1275199d9c9013e41550e4c24326e463416021900e42dab4297",,"2022-03-21T14:40:00.000","2","DRIVER",,"1237038",,"JEEP","WRANGLER","IL","2021","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302739","37f35ffbd9e84d90c68ee4187b170dc9bf8ba9ad8c8cb5f9ee1c3eb1b9777fc3e81f1c0ae95ea4852b7381ad6e3c6907e0101964071b0493a9df6372eeccb106",,"2022-03-21T14:27:00.000","1","DRIVER",,"1237167",,"CHEVROLET","SILVERADO","IL","2004","UNKNOWN","TRUCK - SINGLE UNIT","UNKNOWN/NA","S","BACKING",,,"1",,,,,"N",,,,,,,,,,"N","N","Y","REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302740","37f35ffbd9e84d90c68ee4187b170dc9bf8ba9ad8c8cb5f9ee1c3eb1b9777fc3e81f1c0ae95ea4852b7381ad6e3c6907e0101964071b0493a9df6372eeccb106",,"2022-03-21T14:27:00.000","2","PARKED","1","1237172",,"KIA","FORTE","IL","2021","UNKNOWN","PASSENGER","UNKNOWN/NA","N","PARKED",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302616","5090623ac750a577fc379ecdfbd01adaee9f72c570e7a7c77b489b1498119f43b66ae8722824355455af5235e72fca2affb2f12607892157d777d8b4d9fa9001",,"2022-03-21T14:26:00.000","1","DRIVER",,"1237049",,"DODGE","CARAVAN","IL","2010","UNKNOWN","VAN/MINI-VAN","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302617","5090623ac750a577fc379ecdfbd01adaee9f72c570e7a7c77b489b1498119f43b66ae8722824355455af5235e72fca2affb2f12607892157d777d8b4d9fa9001",,"2022-03-21T14:26:00.000","2","DRIVER",,"1237065",,"HYUNDAI","ACCENT","IL","2019","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302686","6a5024b2e65430d5b564322eeaaf9c340ebd7f42a7dc78451ff5546d8972c5c62c150196fd0799669bedc63a87663f442f7a6dc318a873caa49a215a7d253d04",,"2022-03-21T14:25:00.000","1","DRIVER",,"1237123",,"CADILLAC","ESCALADE","IL","2003","UNKNOWN","PICKUP","PERSONAL","N","TURNING LEFT","Y",,"1",,"UNK","UNK",,"Y","Y",,,,,,,,"Y","Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302687","6a5024b2e65430d5b564322eeaaf9c340ebd7f42a7dc78451ff5546d8972c5c62c150196fd0799669bedc63a87663f442f7a6dc318a873caa49a215a7d253d04",,"2022-03-21T14:25:00.000","2","DRIVER","2","1237134",,"CADILLAC","XT5","IL","2019","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","E","STRAIGHT AHEAD","Y",,"3",,"B&R TOWING","CRESTWOOD PD",,"Y","Y","Y","Y","Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302660","962b78e6d293f6983c580db9fdf525a6d2e7ada4387d21ecbc4faa08c2215146573cc0183ec3d154788af27deabd66c71c7dc6f09cc530b74becefe91e8cd656",,"2022-03-21T14:25:00.000","1","DRIVER",,"1237092",,"DODGE","400","IL","2010","NONE","PASSENGER","PERSONAL","E","PASSING/OVERTAKING","Y",,"1",,"PRIVATE COMPANY",,,"Y","Y",,,,,,"Y","Y","Y","Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
